이미지 주소,브랜드,상품명,판매가격,원가,할인율,리뷰수,별점,상품 상세 이미지,중분류,소분류
https://cdn.chicor.com/images/product/20231102105657573.jpg?d=600x0,딘토,블러 글로이 립 틴트,14000,20000,30,154,97,"['https://cdn.chicor.com/images/editor/20231107120526506.jpg', 'https://cdn.chicor.com/images/editor/20231107120531635.gif', 'https://cdn.chicor.com/images/editor/20231107120540239.jpg', 'https://cdn.chicor.com/images/editor/20231107120547603.jpg', 'https://cdn.chicor.com/images/editor/20231107120553773.gif', 'https://cdn.chicor.com/images/editor/20231107120606349.jpg', 'https://cdn.chicor.com/images/editor/20231107120610912.jpg', 'https://cdn.chicor.com/images/editor/20231107120618771.jpg', 'https://cdn.chicor.com/images/editor/20231107120625062.gif', 'https://cdn.chicor.com/images/editor/20231107120640511.gif', 'https://cdn.chicor.com/images/editor/20231107120654327.jpg', 'https://cdn.chicor.com/images/editor/20231107120658626.jpg', 'https://cdn.chicor.com/images/editor/20231107120704604.gif', 'https://cdn.chicor.com/images/editor/20231107120709269.jpg', 'https://cdn.chicor.com/images/editor/20231107120713973.jpg', 'https://cdn.chicor.com/images/editor/20231107120720202.jpg', 'https://cdn.chicor.com/images/editor/20231107120725485.jpg', 'https://cdn.chicor.com/images/editor/20231107120729873.jpg', 'https://cdn.chicor.com/images/editor/20231107120733969.jpg', 'https://cdn.chicor.com/images/editor/20231107120738335.jpg', 'https://cdn.chicor.com/images/editor/20231107120743742.jpg', 'https://cdn.chicor.com/images/editor/20231107120747917.jpg']",립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20230731112919811.jpg?d=600x0,롬앤,쥬시 래스팅 틴트,9100,13000,30,41,99,"['https://cdn.chicor.com/images/editor/20230731162307619.jpg', 'https://cdn.chicor.com/images/editor/20230731162334219.jpg', 'https://cdn.chicor.com/images/editor/20230731162353594.jpg', 'https://cdn.chicor.com/images/editor/20230731162410549.jpg', 'https://cdn.chicor.com/images/editor/20230731162424961.jpg', 'https://cdn.chicor.com/images/editor/20230731162444060.jpg', 'https://cdn.chicor.com/images/editor/20230731162509059.gif', 'https://cdn.chicor.com/images/editor/20230731162528156.gif', 'https://cdn.chicor.com/images/editor/20230731162535053.jpg', 'https://cdn.chicor.com/images/editor/20230731162552874.jpg', 'https://cdn.chicor.com/images/editor/20230731162600979.gif', 'https://cdn.chicor.com/images/editor/20230731162621904.gif', 'https://cdn.chicor.com/images/editor/20230731162628274.jpg', 'https://cdn.chicor.com/images/editor/20230731162635345.jpg', 'https://cdn.chicor.com/images/editor/20230731162643998.jpg', 'https://cdn.chicor.com/images/editor/20230731162659029.jpg', 'https://cdn.chicor.com/images/editor/20230731162705636.jpg', 'https://cdn.chicor.com/images/editor/20230731162713086.jpg', 'https://cdn.chicor.com/images/editor/20230731164204487.jpg', 'https://cdn.chicor.com/images/editor/20230731164219766.jpg', 'https://cdn.chicor.com/images/editor/20230731164256460.jpg', 'https://romand.cafe24.com/design/kr/juicy_summer/01.jpg', 'https://romand.cafe24.com/design/kr/juicy_summer/02.jpg', 'https://romand.cafe24.com/design/kr/juicy_summer/03.jpg', 'https://romand.cafe24.com/design/kr/juicy_original/01.jpg', 'https://romand.cafe24.com/design/kr/juicy_original/02.jpg', 'https://romand.cafe24.com/design/kr/juicy_original/03.jpg', 'https://romand.cafe24.com/design/kr/juicy_original/04.jpg', 'https://romand.cafe24.com/design/kr/juicy_autumnfruit/01.jpg', 'https://romand.cafe24.com/design/kr/juicy_autumnfruit/02.jpg', 'https://romand.cafe24.com/design/kr/juicy_autumnfruit/03.jpg', 'https://romand.cafe24.com/design/kr/juicy_autumnfruit/04.jpg', 'https://romand.cafe24.com/design/kr/juicy_autumnfruit/05.jpg', 'https://romand.cafe24.com/design/kr/juicy_sparkling/jucy_spark01.jpg', 'https://romand.cafe24.com/design/kr/juicy_sparkling/jucy_spark02.jpg', 'https://romand.cafe24.com/design/kr/juicy_sparkling/jucy_spark03.jpg']",립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20230810144125043.png?d=600x0,시코르메이크업,워터 글로우 틴트,11900,17000,30,37,99,"['https://cdn.chicor.com/images/editor/20230504100351314.jpg', 'https://cdn.chicor.com/images/editor/20230504100358580.gif', 'https://cdn.chicor.com/images/editor/20230504100406773.gif', 'https://cdn.chicor.com/images/editor/20230504100416733.jpg', 'https://cdn.chicor.com/images/editor/20230504100423810.gif', 'https://cdn.chicor.com/images/editor/20230504100430679.jpg']",립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20231013171948907.jpg?d=600x0,네이밍,프라임 포그 립 틴트 3.6g (택1),16000,16000,50,16,100,"['https://cdn.chicor.com/images/editor/20231013171841499.jpg', 'https://cdn.chicor.com/images/editor/20231013171847676.jpg', 'https://cdn.chicor.com/images/editor/20231013171854089.jpg', 'https://cdn.chicor.com/images/editor/20231013171859851.jpg', 'https://cdn.chicor.com/images/editor/20231013171905389.jpg', 'https://cdn.chicor.com/images/editor/20231013171910830.jpg']",립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20200702221306946.jpg?d=600x0,3CE,소프트 립락커,9000,15000,40,42,100,['https://cdn.chicor.com/images/editor/20200702221303767.jpg'],립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20210120124509750.jpg?d=600x0,3CE,글레이즈 립틴트,9000,15000,40,10,96,['https://cdn.chicor.com/images/editor/20210120174325024.jpg'],립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20200814162116668.jpg?d=600x0,3CE,클라우드 립 틴트,10200,17000,40,13,100,['https://cdn.chicor.com/images/editor/20200814161916288.jpg'],립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20231102112218195.jpg?d=600x0,딘토,블러피니쉬 립 틴트,14000,20000,30,5,96,"['https://cdn.chicor.com/images/editor/20231102111941533.jpg', 'https://cdn.chicor.com/images/editor/20231102111955578.jpg', 'https://cdn.chicor.com/images/editor/20231102112006293.jpg', 'https://cdn.chicor.com/images/editor/20230418163923779.jpg', 'https://cdn.chicor.com/images/editor/20230418163928740.jpg', 'https://cdn.chicor.com/images/editor/20230418163933524.jpg', 'https://cdn.chicor.com/images/editor/20230418163938411.jpg', 'https://cdn.chicor.com/images/editor/20230418163942920.jpg', 'https://cdn.chicor.com/images/editor/20230418163947255.jpg', 'https://cdn.chicor.com/images/editor/20230418163951837.jpg', 'https://cdn.chicor.com/images/editor/20230418163956672.jpg', 'https://cdn.chicor.com/images/editor/20230418164015141.jpg', 'https://cdn.chicor.com/images/editor/20230418164001176.jpg', 'https://cdn.chicor.com/images/editor/20231102112152471.jpg', 'https://cdn.chicor.com/images/editor/20231102112159926.jpg', 'https://cdn.chicor.com/images/editor/20230418164034675.jpg', 'https://cdn.chicor.com/images/editor/20230418164039659.jpg']",립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20221007110412756.jpg?d=600x0,네이밍,소프트 터치 립 틴트 4.5g (택1),8000,16000,50,11,100,"['https://cdn.chicor.com/images/editor/20220110150415394.jpg', 'https://cdn.chicor.com/images/editor/20220110150419506.jpg', 'https://cdn.chicor.com/images/editor/20220110150423423.jpg', 'https://cdn.chicor.com/images/editor/20220110150427571.jpg', 'https://cdn.chicor.com/images/editor/20220110150835097.jpg', 'https://cdn.chicor.com/images/editor/20220110150845632.jpg', 'https://cdn.chicor.com/images/editor/20220110150905217.jpg', 'https://cdn.chicor.com/images/editor/20220110150911676.jpg', 'https://cdn.chicor.com/images/editor/20220110151104480.jpg']",립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20211130113028202.jpg?d=600x0,16브랜드,16 후르츄 틴트,4450,8900,50,8,100,['https://cdn.chicor.com/images/editor/20211130112117939.jpg'],립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20230728110249760.jpg?d=600x0,키스미,키스미 아이 라이트 블러리 픽싱 틴트,11200,16000,30,30,100,['https://cdn.chicor.com/images/editor/20230719171239543.jpg'],립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20220906153604726.jpg?d=600x0,아임미미,미스터리 블러틴트 V2,7200,12000,40,0,0,"['https://cdn.chicor.com/images/editor/20230407100541245.jpg', 'https://cdn.chicor.com/images/editor/20230407100547588.jpg', 'https://cdn.chicor.com/images/editor/20230407100555203.gif', 'https://cdn.chicor.com/images/editor/20230407100601705.jpg', 'https://cdn.chicor.com/images/editor/20230407100607722.jpg']",립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20230901141104292.jpg?d=600x0,키스미,[NEW] 키스미 아이 캔디 피팅 틴트,9800,14000,30,20,99,['https://cdn.chicor.com/images/editor/20230719163307537.jpg'],립메이크업,립틴트/락커
